,parent,child,lambda_val,child_size
2006,5820,3671,0.0663165515074056,1
2007,5820,923,0.06633928685674072,1
2008,5820,3560,0.06633928685674072,1
2009,5820,2076,0.06633928685674072,1
2010,5820,1896,0.06633928685674072,1
2011,5820,2600,0.06633928685674072,1
2012,5820,2882,0.06633928685674072,1
2013,5820,1874,0.06633928685674072,1
2014,5820,1535,0.06636602951125821,1
2015,5820,2409,0.06638180754658551,1
2016,5820,2873,0.06638180754658551,1
2017,5820,3089,0.06638180754658551,1
2018,5820,1803,0.0663827993732992,1
2019,5820,3037,0.0663827993732992,1
2020,5820,2520,0.06640542118472051,1
2021,5820,3744,0.06640680753823656,1
2022,5820,2437,0.06640680753823656,1
2023,5820,2045,0.06640680753823656,1
2024,5820,2151,0.06640680753823656,1
2025,5820,2543,0.06640680753823656,1
2026,5820,1541,0.06643983086966901,1
2027,5820,1884,0.06643983086966901,1
2028,5820,3586,0.066455929703571,1
2029,5820,2687,0.066455929703571,1
2030,5820,3360,0.066455929703571,1
2031,5820,1035,0.06645889410018022,1
2032,5820,2181,0.06648480733767133,1
2033,5820,1815,0.06648480733767133,1
2034,5820,299,0.06649298220788437,1
2035,5820,905,0.06649298220788437,1
2036,5820,132,0.06649298220788437,1
2037,5820,4729,0.06649298220788437,1
2038,5820,4931,0.06649298220788437,1
2039,5820,3992,0.06649298220788437,1
2040,5820,5313,0.06649298220788437,1
2041,5820,4147,0.06649298220788437,1
2042,5820,5300,0.06649298220788437,1
2043,5820,1415,0.06651357666565524,1
2044,5820,1604,0.06655368482635071,1
2045,5820,1203,0.06655368482635071,1
2046,5820,1872,0.06659062867719158,1
2047,5820,1212,0.06660809854062738,1
2048,5820,2495,0.0666204132332241,1
2049,5820,2746,0.06663247431110854,1
2050,5820,3247,0.06663372749188623,1
2051,5820,2904,0.06663372749188623,1
2052,5820,1753,0.06663372749188623,1
2053,5820,3510,0.0666577548938395,1
2054,5820,1011,0.06667112959779328,1
2055,5820,1438,0.06667112959779328,1
2056,5820,2698,0.066676573556758,1
2057,5820,1130,0.06668124580403063,1
2058,5820,2042,0.06669820235096573,1
2059,5820,278,0.06669922489021397,1
2060,5820,3559,0.06673274461542171,1
2061,5820,2212,0.0667479903196204,1
2062,5820,3786,0.06674979578587084,1
2063,5820,1052,0.06674979578587084,1
2064,5820,3228,0.06676317639423474,1
2065,5820,3195,0.06676851970769092,1
2066,5820,3255,0.06677321654235972,1
2067,5820,908,0.06677321654235972,1
2068,5820,2596,0.06677554041334877,1
2069,5820,2084,0.0667802842720188,1
2070,5820,3021,0.0667802842720188,1
2071,5820,364,0.0668089061770439,1
2072,5820,315,0.06681015144094953,1
2073,5820,5720,0.06681015144094953,1
2074,5820,4161,0.06681015144094953,1
2075,5820,3077,0.06681161630757644,1
2076,5820,1521,0.06687803981379141,1
2077,5820,2921,0.06687803981379141,1
2078,5820,2020,0.06687945444100497,1
2079,5820,1652,0.0668868553442553,1
2080,5820,1556,0.0668868553442553,1
2081,5820,3738,0.06689426127099628,1
2082,5820,1374,0.06689426127099628,1
2083,5820,3097,0.06689426127099628,1
2084,5820,2537,0.06689426127099628,1
2085,5820,1992,0.06689426127099628,1
2086,5820,2860,0.06689426127099628,1
2087,5820,3151,0.06692746674820864,1
2088,5820,2987,0.06696580274987027,1
2089,5820,2214,0.06696580274987027,1
2090,5820,3178,0.06700485036776711,1
2091,5820,1885,0.06700485036776711,1
2092,5820,3301,0.06700538870753452,1
2093,5820,2141,0.06700538870753452,1
2094,5820,2808,0.06700538870753452,1
2095,5820,2330,0.06700538870753452,1
2096,5820,3038,0.06700538870753452,1
2097,5820,2167,0.06700538870753452,1
2098,5820,2974,0.06702032894369593,1
2099,5820,2137,0.06702032894369593,1
2100,5820,2575,0.06702032894369593,1
2101,5820,3163,0.06702032894369593,1
2102,5820,2847,0.06702032894369593,1
2103,5820,2753,0.06702032894369593,1
2104,5820,2188,0.06702601501222587,1
2105,5820,3018,0.06703112344606293,1
2106,5820,1852,0.06704947186899154,1
2107,5820,1810,0.06705198618975457,1
2108,5820,1446,0.06706215729291591,1
2109,5820,2843,0.06706361121476125,1
2110,5820,2925,0.06706361121476125,1
2111,5820,2067,0.06707133437979527,1
2112,5820,1211,0.06710419306485689,1
2113,5820,1574,0.06710899925136944,1
2114,5820,3382,0.06710899925136944,1
2115,5820,2235,0.06710899925136944,1
2116,5820,2391,0.06710899925136944,1
2117,5820,3648,0.06713450105281549,1
2118,5820,2584,0.06713450105281549,1
2119,5820,1911,0.06713820566163198,1
2120,5820,1558,0.06713820566163198,1
2121,5820,1217,0.06713820566163198,1
2122,5820,3602,0.06713820566163198,1
2123,5820,3806,0.06713820566163198,1
2124,5820,3479,0.06713820566163198,1
2125,5820,728,0.06717681458450592,1
2126,5820,826,0.06717681458450592,1
2127,5820,234,0.06717681458450592,1
2128,5820,4556,0.06717681458450592,1
2129,5820,5529,0.06717681458450592,1
2130,5820,284,0.06717681458450592,1
2131,5820,5213,0.06717681458450592,1
2132,5820,5455,0.06717681458450592,1
2133,5820,4663,0.06717681458450592,1
2134,5820,4766,0.06717681458450592,1
2135,5820,4087,0.06717681458450592,1
2136,5820,1524,0.06718776249781898,1
2137,5820,345,0.06719232297455972,1
2138,5820,2340,0.06720419744200368,1
2139,5820,1813,0.06721466900760727,1
2140,5820,3019,0.06721693317052523,1
2141,5820,2837,0.06721693317052523,1
2142,5820,982,0.06722442277830101,1
2143,5820,3720,0.06724881120314846,1
2144,5820,1312,0.06724881120314846,1
2145,5820,1332,0.06724881120314846,1
2146,5820,2073,0.06727157949115359,1
2147,5820,2748,0.06727157949115359,1
2148,5820,2474,0.06727157949115359,1
2149,5820,2000,0.06730308741478916,1
2150,5820,2357,0.06733571072995967,1
2151,5820,2301,0.06733571072995967,1
2152,5820,2204,0.06733571072995967,1
2153,5820,3569,0.06734795957523047,1
2154,5820,1023,0.06736726662152927,1
2155,5820,2361,0.06737319245050696,1
2156,5820,2025,0.06737319245050696,1
2157,5820,2304,0.06737319245050696,1
2158,5820,1714,0.06738535791211245,1
2159,5820,2778,0.06738535791211245,1
2160,5820,5821,0.06739248908617095,3643
2161,5820,5822,0.06739248908617095,17
2162,5821,1644,0.06742630745151966,1
2163,5821,2261,0.06742630745151966,1
2164,5822,3262,0.06749692623490222,1
2165,5822,3292,0.06749692623490222,1
2166,5822,2957,0.06749692623490222,1
2167,5822,2722,0.06749692623490222,1
2168,5822,2621,0.06749692623490222,1
2169,5822,2615,0.06749692623490222,1
2170,5822,2721,0.06749692623490222,1
2171,5822,2674,0.06749692623490222,1
2172,5822,2887,0.06749692623490222,1
2173,5822,2801,0.06749692623490222,1
2174,5822,2815,0.06749692623490222,1
2175,5822,2939,0.06749692623490222,1
2176,5822,2761,0.06749692623490222,1
2177,5822,3136,0.06749692623490222,1
2178,5822,2929,0.06749692623490222,1
2179,5822,2779,0.06749692623490222,1
2180,5822,2694,0.06749692623490222,1
2181,5821,1669,0.06744635710904882,1
2182,5821,366,0.06744640728692865,1
2183,5821,4206,0.06744640728692865,1
2184,5821,4841,0.06744640728692865,1
2185,5821,1115,0.06748786230558622,1
2186,5821,1382,0.0675125107505731,1
2187,5821,3310,0.0675125107505731,1
2188,5821,3387,0.0675206500928167,1
2189,5821,5033,0.06755085923685117,1
2190,5821,1819,0.06755747421743208,1
2191,5821,2559,0.06759377687739342,1
2192,5821,2270,0.06760192464949809,1
2193,5821,5293,0.0676032840035065,1
2194,5821,2609,0.06760408101855825,1
2195,5821,3096,0.06761771972116776,1
2196,5821,2305,0.0676355191162407,1
2197,5821,2077,0.0676355191162407,1
2198,5821,2647,0.0676375302282438,1
2199,5821,2581,0.06769346115123873,1
2200,5821,1966,0.06769530402987899,1
2201,5821,3008,0.06772812829182448,1
2202,5821,2770,0.06772812829182448,1
2203,5821,1258,0.06772812829182448,1
