,parent,left_child,right_child,distance,size
270,6068,5281.0,4877.0,7.22225328731884,2.0
271,6069,4151.0,4039.0,7.230176016091756,2.0
272,6070,776.0,399.0,7.233508348633424,2.0
273,6071,4744.0,4024.0,7.23422128835939,2.0
274,6072,6024.0,4650.0,7.235742340284738,5.0
275,6073,4149.0,4505.0,7.239141094290493,2.0
276,6074,4866.0,5930.0,7.24924075159119,3.0
277,6075,2206.0,3083.0,7.249668252483448,2.0
278,6076,6037.0,5891.0,7.252296794078876,4.0
279,6077,3876.0,5679.0,7.256778918640918,2.0
280,6078,4430.0,5008.0,7.2628028475131705,2.0
281,6079,4522.0,5141.0,7.267323691776312,2.0
282,6080,2523.0,2566.0,7.2688941269690055,2.0
283,6081,2084.0,3021.0,7.27324386901691,2.0
284,6082,4560.0,4023.0,7.273715888249084,2.0
285,6083,2794.0,2685.0,7.27646748728967,2.0
286,6084,4733.0,5810.0,7.277531318909666,3.0
287,6085,5915.0,1794.0,7.2787645276315445,3.0
288,6086,615.0,461.0,7.2805759917917054,2.0
289,6087,4546.0,5262.0,7.283277689250536,2.0
290,6088,5170.0,5926.0,7.283543604668191,3.0
291,6089,4524.0,5996.0,7.284833138310418,5.0
292,6090,5069.0,6012.0,7.286088421848471,3.0
293,6091,5297.0,5361.0,7.291407217973984,2.0
294,6092,4962.0,5619.0,7.292082743871668,2.0
295,6093,6034.0,6050.0,7.293200492820454,5.0
296,6094,6055.0,4111.0,7.299334232477968,5.0
297,6095,5685.0,4487.0,7.301063068913771,2.0
298,6096,5999.0,6015.0,7.306660724583332,8.0
299,6097,5997.0,4461.0,7.306945590772552,4.0
300,6098,5964.0,6053.0,7.31700329832328,4.0
301,6099,4655.0,4612.0,7.318553791171057,2.0
302,6100,4912.0,5607.0,7.321253538842465,2.0
303,6101,2701.0,2784.0,7.324803237414879,2.0
304,6102,5913.0,5959.0,7.329489733959273,4.0
305,6103,4203.0,4467.0,7.330345876757049,2.0
306,6104,6044.0,5489.0,7.334493658956422,3.0
307,6105,5969.0,6002.0,7.33883493015217,5.0
308,6106,4960.0,4809.0,7.339419935442389,2.0
309,6107,5765.0,4418.0,7.340234238073793,2.0
310,6108,4568.0,5751.0,7.341722305096126,2.0
311,6109,5905.0,3958.0,7.343489405969057,3.0
312,6110,4152.0,4963.0,7.345686404146406,2.0
313,6111,5864.0,5834.0,7.347737076473381,4.0
314,6112,5259.0,5776.0,7.354034408738839,2.0
315,6113,3903.0,5549.0,7.354678151710945,2.0
316,6114,5738.0,4148.0,7.361318986516053,2.0
317,6115,4491.0,4509.0,7.361325750319257,2.0
318,6116,6098.0,363.0,7.361603679639821,5.0
319,6117,2989.0,5863.0,7.372281783029843,3.0
320,6118,5989.0,4181.0,7.372473130886616,3.0
321,6119,5982.0,28.0,7.375040665381027,9.0
322,6120,5157.0,6076.0,7.388126229434647,5.0
323,6121,5990.0,836.0,7.388834107554519,13.0
324,6122,2498.0,1746.0,7.394263275559799,2.0
325,6123,4073.0,4972.0,7.404079392343058,2.0
